"""","平成24年度","平成25年度","平成26年度"
"総  数","67318.0","68724.0","67851.0"
"","","",""
"農・林・漁業","2099.0","2320.0","2169.0"
"鉱業","43.0","18.0","13.0"
"建設業","4491.0","4838.0","4831.0"
"","","",""
"製造業","6754.0","6960.0","7137.0"
"  食料品製造業","2255.0","2052.0","1991.0"
"  飲料･たばこ・飼料製造業","250.0","152.0","150.0"
"  繊維工業","813.0","793.0","730.0"
"  木材･木製品製造業","201.0","218.0","156.0"
"  家具･装備品製造業","229.0","206.0","177.0"
"  パルプ･紙・紙加工品製造業","78.0","81.0","63.0"
"  印刷・同関連業","95.0","89.0","81.0"
"  化学工業","309.0","489.0","470.0"
"  石油製品・石炭製品製造業","25.0","5.0","10.0"
"  プラスチック製品製造業","206.0","336.0","312.0"
"  ゴム製品製造業","31.0","54.0","86.0"
"  窯業･土石製品製造業","130.0","157.0","161.0"
"  鉄鋼業","499.0","749.0","794.0"
"  非鉄金属製造業","41.0","56.0","88.0"
"  金属製品製造業","459.0","425.0","563.0"
"  はん用機械器具製造業","191.0","156.0","187.0"
"　生産用機械器具製造業","203.0","176.0","232.0"
"　業務用機械器具製造業","72.0","96.0","71.0"
"　電子部品・ﾃﾞﾊﾞｲｽ・電子回路製造業","87.0","82.0","196.0"
"　電気機械器具製造業","211.0","255.0","223.0"
"　情報通信機械器具製造業","3.0","7.0","2.0"
"　輸送用機械器具製造業","67.0","100.0","170.0"
"　その他の製造業","299.0","226.0","224.0"
"","","",""
"電気・ｶﾞｽ・熱供給・水道業","45.0","44.0","33.0"
"情報通信業","1340.0","1127.0","1012.0"
"運輸業，郵便業","3879.0","3759.0","3250.0"
"卸売・小売業","9471.0","10196.0","9790.0"
"金融・保険業","655.0","609.0","471.0"
"不動産業，物品賃貸業","937.0","885.0","885.0"
"学術研究，専門・技術サービス業","1125.0","1006.0","839.0"
"宿泊業，飲食サービス業","5766.0","6108.0","6148.0"
"生活関連サービス業，娯楽業","2601.0","2415.0","2446.0"
"教育、学習支援業","3192.0","2774.0","3621.0"
"医療，福祉","15973.0","16158.0","16346.0"
"複合サービス事業","1121.0","1150.0","1320.0"
"サービス業","6513.0","7219.0","6263.0"
"公務・その他","1313.0","1138.0","1277.0"
"","","",""
"","","",""
"規模別_ 29人以下","41682.0","44278.0","43256.0"
"規模別_ 30～ 99人","15697.0","15607.0","15811.0"
"規模別_100～299人","7675.0","6849.0","6358.0"
"","","",""
"規模別_300～499人","1173.0","907.0","926.0"
"規模別_500～999人","826.0","667.0","675.0"
"規模別_1,000人以上","265.0","416.0","825.0"
